,operador_id,producto
2679,1254,GIRASOL
2680,1254,SOJA
2681,1254,TRIGO
2682,1254,MAIZ PISINGALLO
2683,1255,MIEL
2684,1255,SUBPRODUCTOS DE LA COLMENA
2685,1256,MIEL
2686,1257,MIEL
2687,1257,SUBPRODUCTOS DE LA COLMENA
2688,1258,EMULSION CORPORAL SUAVIZANTE
2689,1258,EMULSION CORPORAL NUTRITIVA
2690,1258,EMULSION CORPORAL ANTIAGE
2691,1258,CREMA FACIAL ANTIAGE
2692,1258,CREMA FACIAL DIURNA
2693,1258,CREMA FACIAL NOCTURNA NUTRITIVA
2694,1258,SERUM CONTORNO DE OJOS
2695,1258,SERUM CONTORNO DE LABIOS
2696,1258,TONICO FACIAL
2697,1258,ACEITE DE LIMPIEZA
2698,1259,PAPILLA PARA BEBE
2699,1260,ACOPIO DE CEREALES
2700,1260,OLEAGINOSAS
2701,1261,ACEITE DE OLIVA
2702,1262,TURRON
2703,1262,GARRAPIï¿½ADA
2704,1262,CARAMELOS
2705,1262,CHUPETINES
2706,1262,MIEL
2707,1267,CEBADA
2708,1268,MIEL.
2709,1270,HORTALIZAS.
2710,1271,MIEL
2711,1272,LANA SUCIA
2712,1273,ARROZ BLANCO PULIDO
2713,1274,JUGO CONCENTRADO CONGELADO DE LIMON
2714,1274,JUGO CONCENTRADO CONGELADO DE MANDARINA
2715,1274,JUGO CONCENTRADO CONGELADO DE NARANJA
2716,1274,JUGO CONCENTRADO CONGELADO DE POMELO
2717,1274,JUGO PASTEURIZADO CONGELADO DE LIMON
2718,1274,JUGO PASTEURIZADO CONGELADO DE MANDARINA
2719,1274,JUGO PASTEURIZADO CONGELADO DE NARANJA
2720,1274,JUGO PASTEURIZADO CONGELADO DE POMELO
2721,1274,ACEITE ESENCIAL DE LIMON
2722,1274,ACEITE ESENCIAL DE MANDARINA
2723,1274,ACEITE ESENCIAL DE NARANJA
2724,1274,ACEITE ESENCIAL DE POMELO
2725,1274,FASE OLEOSA DE LIMON
2726,1274,FASE OLEOSA DE MANDARINA
2727,1274,FASE OLEOSA DE NARANJA
2728,1274,FASE OLEOSA DE POMELO
2729,1275,CHIA
2730,1276,ACEITUNAS
2731,1277,ACEITE DE OLIVA
2732,1278,ACEITE DE JOJOBA
2733,1279,MANZANA
2734,1280,AJO
2735,1281,AJO NEGRO
2736,1282,PULPA DE PERA
2737,1282,PULPA DE MANZANA
2738,1282,PULPA DE DAMASCO
2739,1282,PULPA DE DURAZNO
2740,1282,PULPA DE ZAPALLO
2741,1282,PURE DE BATATA
